date,open,high,low,close
2024-08-05,0.85844,0.85948,0.84325,0.8523
2024-08-06,0.85239,0.85719,0.85012,0.85137
2024-08-07,0.85224,0.86623,0.8513,0.8617
2024-08-08,0.86361,0.86741,0.856,0.86668
2024-08-09,0.86629,0.86721,0.86322,0.86527
2024-08-12,0.86463,0.8712,0.86418,0.86521
2024-08-13,0.8655,0.86801,0.8637,0.86484
2024-08-14,0.86497,0.86611,0.86179,0.86514
2024-08-15,0.86513,0.87486,0.86471,0.87252
2024-08-16,0.8726,0.87288,0.86597,0.86624
2024-08-19,0.86566,0.86776,0.86158,0.86291
2024-08-20,0.86325,0.86325,0.85399,0.85406
2024-08-21,0.85407,0.85616,0.84953,0.8517
2024-08-22,0.85212,0.85343,0.84892,0.85223
2024-08-23,0.85202,0.85419,0.84706,0.84768
2024-08-26,0.84812,0.84858,0.84559,0.84728
2024-08-27,0.84684,0.84844,0.84092,0.84153
2024-08-28,0.8421,0.84522,0.84095,0.8422
2024-08-29,0.84294,0.84935,0.84003,0.84729
2024-08-30,0.84729,0.85107,0.84659,0.84999
2024-09-02,0.84987,0.85375,0.84852,0.8517
2024-09-03,0.85207,0.85378,0.84783,0.85035
2024-09-04,0.85011,0.85187,0.84632,0.84651
2024-09-05,0.84674,0.84908,0.84339,0.84409
2024-09-06,0.84438,0.84759,0.83746,0.84327
2024-09-09,0.84357,0.84945,0.84234,0.84934
2024-09-10,0.84876,0.84988,0.84565,0.84701
2024-09-11,0.84715,0.85298,0.84221,0.85226
2024-09-12,0.85217,0.85497,0.85066,0.85116
2024-09-13,0.85153,0.8517,0.84438,0.84902
2024-09-16,0.84761,0.84869,0.84345,0.84477
2024-09-17,0.84477,0.84771,0.84299,0.84721
2024-09-18,0.84719,0.84801,0.83909,0.84631
2024-09-19,0.84645,0.8515,0.84492,0.84777
2024-09-20,0.84724,0.8517,0.84516,0.85035
2024-09-23,0.84983,0.8518,0.84564,0.8475
2024-09-24,0.84753,0.84901,0.84308,0.84329
2024-09-25,0.8433,0.85072,0.84151,0.85039
2024-09-26,0.8504,0.85162,0.84531,0.84619
2024-09-27,0.84617,0.84933,0.8402,0.84041
2024-09-30,0.84109,0.84525,0.84035,0.84516
